arm,median_J,mean_J,sd_J,evals
"(a) 1 particle, whole budget alone",26.103915362206948,26.614840138913284,2.9212104498808573,3030
"(b) 30 particles, c2=0 (no sharing)",23.787443025927637,23.572063612591233,1.757874046684597,3030
(c) 30 particles sharing one gbest,15.90749762860513,16.23200123964018,1.3296932969209538,3030
(d) random search (reference),24.56421567878455,24.069152342610273,1.6095202249106908,3030
