schedule,train_J,heldout_J,optimism_gap,heldout_mean_wait_min,heldout_p90_wait_min,heldout_service_level_pct,heldout_stranded_pct,heldout_fleet_penalty
PSO (best of 30 seeds),14.231519161812242,16.261509907011224,2.0299907451989814,16.261509907011224,50.977433555775164,47.117144602132186,8.771395535071283,0.0
GA (best of 30 seeds),14.4183652180081,16.399239445941166,1.9808742279330662,16.399239445941166,47.83176673239927,44.11843697540825,7.939488727233863,0.0
Demand-proportional,23.464802520803556,22.922689464565597,-0.5421130562379588,22.922689464565597,60.0,46.33287738071796,22.99641506155956,0.0
Uniform headway,32.13996658656948,32.39924043912824,0.25927385255876345,32.39924043912824,57.642601014470294,13.481707869376612,9.5943772721925,0.0
