departure_min_after_0700
6.046410379068738195e+01
1.431496656352801722e+02
1.608912959117914738e+02
2.322807221829287982e+02
2.440120410379449254e+02
3.328899887051881592e+02
4.160357318528097608e+02
4.408652225780185177e+02
5.028201096022098113e+02
5.168852058050212008e+02
5.915953656604701791e+02
6.058893000543556582e+02
6.778261677109088623e+02
6.945346111644379334e+02
