topology,mean_J,median_J,sd_J,var_J,mean_stagnation_iter,median_stagnation_iter
gbest (fully connected),16.23200123964018,15.90749762860513,1.3296932969209538,1.7680842638765162,99.4,100.0
ring (k=1),17.624574169171225,17.405266329399126,1.0473824778214589,1.0970100548474186,99.06666666666666,99.5
