method,median_J,mean_J,sd_J,best_J,worst_J,evals
PSO (gbest),15.90749762860513,16.23200123964018,1.3296932969209538,14.231519161812242,19.801079711705082,3030
GA (real-coded),15.153939193948606,15.364899079387003,0.991272409342599,14.4183652180081,19.30471035844964,3030
Random search,24.56421567878455,24.069152342610273,1.6095202249106908,19.685826524820886,26.818708657836666,3030
Uniform headway,32.13996658656948,32.13996658656948,0.0,32.13996658656948,32.13996658656948,0
Demand-proportional,23.464802520803556,23.464802520803556,0.0,23.464802520803556,23.464802520803556,0
