algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget,budget_s,censored
basic_backtracking,20,505,170460,170441,170460,0,5.00001417600015,368.605654485957,19,1,0.05,False,False,5.0,True
basic_backtracking,25,7,1235352,1235329,1235352,0,5.0000256040000295,1183.5438059551195,23,2,0.08,False,False,5.0,True
basic_backtracking,25,13,467515,467492,467515,0,5.000010849000091,890.9674280580857,23,2,0.08,False,False,5.0,True
basic_backtracking,25,42,324204,324182,324204,0,5.000017828000182,889.1565702304752,22,3,0.12,False,False,5.0,True
basic_backtracking,25,101,689302,689280,689302,0,5.000014114999885,1045.486477681944,22,3,0.12,False,False,5.0,True
basic_backtracking,25,202,635991,635968,635991,0,5.000015432000055,745.5124873951352,23,2,0.08,False,False,5.0,True
basic_backtracking,25,303,96,71,96,0,0.0004821320001155982,375.1748671093882,25,0,0.0,True,False,5.0,False
basic_backtracking,25,404,489278,489256,489278,0,5.000008404000027,667.5975263217788,22,3,0.12,False,False,5.0,True
basic_backtracking,25,505,399945,399921,399945,0,5.000011777000054,418.08757821473563,24,1,0.04,False,False,5.0,True
basic_backtracking,30,7,1477129,1477109,1477129,0,5.0000078569999005,2133.5438059551198,23,7,0.23333333333333334,False,False,5.0,True
basic_backtracking,30,13,1046031,1046003,1046031,0,5.0000359640000624,1084.0691093760834,28,2,0.06666666666666667,False,False,5.0,True
basic_backtracking,30,42,391786,391760,391786,0,5.000004556000022,975.3100309749732,27,3,0.1,False,False,5.0,True
basic_backtracking,30,101,1366070,1366043,1366070,0,5.00002240699996,1111.1140001637236,27,3,0.1,False,False,5.0,True
basic_backtracking,30,202,1297854,1297830,1297854,0,5.000009678999959,1403.7839139772145,25,5,0.16666666666666666,False,False,5.0,True
basic_backtracking,30,303,390207,390178,390207,0,5.000027150000051,783.5829247771011,29,1,0.03333333333333333,False,False,5.0,True
basic_backtracking,30,404,275849,275822,275849,0,5.000031239999998,752.9896239326503,27,3,0.1,False,False,5.0,True
basic_backtracking,30,505,277683,277654,277683,0,5.000059242000134,560.0537683181584,29,1,0.03333333333333333,False,False,5.0,True
basic_backtracking,40,7,1093869,1093847,1093869,0,5.0000080899999375,3683.5438059551198,23,17,0.425,False,False,5.0,True
basic_backtracking,40,13,550159,550123,550159,0,5.000041327999952,1823.1455161508743,36,4,0.1,False,False,5.0,True
basic_backtracking,40,42,969101,969071,969101,0,5.0000183639999705,2195.0131631324657,31,9,0.225,False,False,5.0,True
basic_backtracking,40,101,879237,879209,879237,0,5.0000128570000015,2654.001256135337,29,11,0.275,False,False,5.0,True
basic_backtracking,40,202,1117494,1117469,1117494,0,5.000034055000015,3303.783913977215,25,15,0.375,False,False,5.0,True
basic_backtracking,40,303,911575,911545,911575,0,5.000015981999923,2790.4724348185196,30,10,0.25,False,False,5.0,True
basic_backtracking,40,404,302121,302084,302121,0,5.0000369280001,964.9115297097819,37,3,0.075,False,False,5.0,True
basic_backtracking,40,505,1374420,1374390,1374420,0,5.000020444000029,2491.6300532102205,30,10,0.25,False,False,5.0,True
basic_backtracking,50,7,1197355,1197332,1197355,0,5.000047143000074,5483.54380595512,23,27,0.54,False,False,5.0,True
basic_backtracking,50,13,896689,896653,896689,0,5.0000078319999375,3873.1455161508743,36,14,0.28,False,False,5.0,True
basic_backtracking,50,42,733470,733439,733470,0,5.000028147999956,4045.0131631324657,31,19,0.38,False,False,5.0,True
basic_backtracking,50,101,711115,711086,711115,0,5.000023075999934,4704.001256135337,29,21,0.42,False,False,5.0,True
