algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget
bt_fc_mrv_deg,30,13,60039,60011,60039,0,2.000096914999631,1021.2210606311546,28,2,0.06666666666666667,False,False
bt_fc_mrv_deg,30,42,60467,60440,60467,0,2.0001051649996953,818.0910568102896,27,3,0.1,False,False
bt_fc_mrv_deg,40,7,52027,51991,52027,0,2.0001346259996353,1864.8196816453801,37,3,0.075,False,False
bt_fc_mrv_deg,40,13,47772,47736,47772,0,2.0001619350005058,1594.4250741037479,36,4,0.1,False,False
bt_fc_mrv_deg,40,42,47147,47112,47147,0,2.000130354999783,1267.556527129581,36,4,0.1,False,False
bt_fc_mrv_deg,50,7,44820,44776,44820,0,2.000164219999533,2744.4317422851846,44,6,0.12,False,False
bt_fc_mrv_deg,50,13,36544,36505,36544,0,2.0001869600000646,3335.830092785638,39,11,0.22,False,False
bt_fc_mrv_deg,50,42,38366,38320,38366,0,2.000212451999687,1412.7611225159844,46,4,0.08,False,False
min_conflicts,10,7,4,0,5,5,0.00019168099970556796,555.7078731112845,9,1,0.1,False,False
min_conflicts,10,13,1,0,2,2,7.954400007292861e-05,282.1910721254891,10,0,0.0,True,False
min_conflicts,10,42,0,0,1,1,3.0666999919048976e-05,388.6061198248995,9,1,0.1,False,False
min_conflicts,20,7,12,0,13,13,0.0011384500003259745,820.839269891033,19,1,0.05,False,False
min_conflicts,20,13,3,0,4,4,0.0003801180000664317,981.9367348061517,18,2,0.1,False,False
min_conflicts,20,42,2,0,3,3,0.0003285549992142478,947.3318618904465,18,2,0.1,False,False
min_conflicts,30,7,33,0,34,34,0.009362902999782818,1559.07603898727,28,2,0.06666666666666667,False,False
min_conflicts,30,13,7,0,8,8,0.003309996999632858,1289.1127792557995,28,2,0.06666666666666667,False,False
min_conflicts,30,42,6,0,7,7,0.0031092719991647755,1223.2701920376078,27,3,0.1,False,False
min_conflicts,40,7,42,0,43,43,0.015589685999657377,2132.7907803168478,37,3,0.075,False,False
min_conflicts,40,13,25,0,26,26,0.006948678999833646,1699.800387601339,36,4,0.1,False,False
min_conflicts,40,42,9,0,10,10,0.0027908219999517314,1446.69450474111,36,4,0.1,False,False
min_conflicts,50,7,71,0,72,72,0.023289214999749674,2883.463583085404,44,6,0.12,False,False
min_conflicts,50,13,3000,0,3000,3000,1.00989726699936,2775.3595017095768,41,9,0.18,False,True
min_conflicts,50,42,15,0,16,16,0.005975392999971518,1487.1302664337286,46,4,0.08,False,False
